name,location,comments count,speed,service,flavour,mean
" Terra Pizza - Pizza Pizza, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,316,9.1,9.0,8.8,9.0
" Little Caesars Pizza, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,313,8.9,8.8,8.8,8.8
" Konya Mevlana Etli Ekmek, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,427,8.8,8.9,8.9,8.9
" Pidem, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,243,8.3,8.4,8.0,8.2
" Mevlana Kebapçısı, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,199,8.5,8.6,8.3,8.5
" Şanlıurfa Kebap Dünyası, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,36,8.6,8.2,8.0,8.3
" Dürümcü Mahmut, Bahçelievler (Soğanlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,292,8.3,8.2,8.1,8.2
" Mix Marley Burger, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,94,7.4,7.0,6.9,7.1
" Et Yedi Steak Burger, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,133,8.9,8.7,8.5,8.7
" Abant Pide & Köfte & Kanat, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,103,8.5,8.4,8.2,8.4
" Şanlıurfa Suruç Ocakbaşı, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,17,7.8,8.2,8.3,8.1
" Urfalım Kebap & Lahmacun, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,23,7.8,7.6,7.4,7.6
" Urfa Kebapçısı, Bağcılar (Kirazlı Mah.) ",istanbul/bahcelievler-sirinevler-mah,120,7.7,7.6,7.4,7.6
" Mir Burger, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,40,9.1,9.2,8.7,9.0
" (1996) Bahçeli İskender, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,457,8.8,8.8,8.7,8.8
" Öz Gözde Kebap, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,274,8.8,8.7,8.7,8.7
" Divan Kebap & Kelle Paça, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,260,8.7,8.4,8.4,8.5
" Şen Usta Kebap & Pide & Lahmacun, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,314,8.6,8.6,8.3,8.5
" Tarihi İskender Kebapçısı, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,255,8.9,8.6,8.0,8.5
" Dev Burger, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,415,8.6,8.4,8.2,8.4
" Hero's Pizza, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,22,8.4,8.0,8.1,8.2
" 46 Zurna Dürümm, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,268,8.3,8.3,7.7,8.1
" Döner Duck, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,93,8.3,8.0,7.9,8.1
" Agapia Gourmet Meze, Beşiktaş (Kültür Mah.) ",istanbul/bahcelievler-sirinevler-mah,382,9.8,9.9,9.8,9.8
" Kahta Çiğ Köfte, Küçükçekmece (Sultanmurat Mah.) ",istanbul/bahcelievler-sirinevler-mah,706,9.6,9.6,9.6,9.6
