name,location,comments count,speed,service,flavour,mean
" Little Caesars Pizza, Bakırköy (Ataköy 8. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,448,9.1,9.2,9.0,9.1
" Burger King, Bakırköy (Ataköy 1. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,226,8.1,7.8,7.5,7.8
" Burger Yiyelim, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,271,9.0,8.9,8.7,8.9
" Always A Dessert, Zeytinburnu (Gökalp Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,37,8.9,8.5,8.4,8.6
" Royal Dessert, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,7,10.0,10.0,10.0,10.0
" Bean's Dessert, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,91,9.2,9.6,9.3,9.4
" Bean's Dessert, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,84,9.2,9.4,9.3,9.3
" Pasaport Pizza, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,48,9.1,9.1,8.7,9.0
" Blue Ice Cream, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,10,9.2,9.1,8.4,8.9
" Blue Ice Cream, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,13,8.7,8.8,8.6,8.7
" Blue Ice Cream, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,52,8.4,8.5,8.7,8.5
" Bean's Dessert, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,63,8.1,8.6,8.9,8.5
" Mix Marley Burger, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,94,7.4,7.0,6.9,7.1
" + Tatlı Zamanı, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,58,9.5,9.6,9.5,9.5
" Brast Burger, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,626,9.4,9.4,9.3,9.4
" Burger Club, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,153,8.7,8.9,8.6,8.7
" Ataköy Chicken Kingdom, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,45,8.6,8.7,8.6,8.6
" Meşhur Adıyaman Çiğ Köftecisi Ömer Aybak, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,104,8.8,8.5,8.5,8.6
" Abant Pide & Köfte & Kanat, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,103,8.5,8.4,8.2,8.4
" Etiler Park, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,422,9.1,8.7,8.7,8.8
" (1996) Bahçeli İskender, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,457,8.8,8.8,8.7,8.8
